Date,Distance (mi),Time (min),Route,Notes
2026-06-03,5.2,42:15,Mississippi River Trail,Easy
2026-06-06,6.8,55:30,Dinkytown Loop,Moderate
2026-06-10,4.1,33:45,Campus Loop,Easy
2026-06-13,8.0,68:20,Wirth Park Trail,Trail run
2026-06-17,5.5,45:10,Mississippi River Trail,Intervals
2026-06-20,7.2,60:00,Chain of Lakes,Moderate
2026-06-24,3.8,31:15,Neighborhood,Easy
2026-06-27,10.0,84:30,Wirth Park Trail,Long run
2026-07-01,5.0,41:00,Campus Loop,Easy
2026-07-05,6.5,53:00,Mississippi River Trail,Moderate
2026-07-08,4.2,34:30,Neighborhood,Easy
2026-07-11,9.0,75:00,Chain of Lakes,Long run
2026-07-15,5.8,47:00,Dinkytown Loop,Moderate
2026-07-18,7.5,62:00,Wirth Park Trail,Trail run
2026-07-22,4.0,33:00,Campus Loop,Easy
2026-07-25,8.5,71:00,Mississippi River Trail,Long run
2026-07-29,5.2,43:00,Neighborhood,Easy
2026-08-01,6.0,49:00,Chain of Lakes,Moderate
2026-08-05,7.8,65:00,Wirth Park Trail,Trail run
2026-08-08,4.5,37:00,Campus Loop,Easy
