id,parent_type,parent_id,title,created_time,last_edited_time,created_by,archived,icon,cover_url
pg-nclex-cardiac,database,db-nursing,NCLEX Pharm Review - Cardiac Drugs,2026-09-10T14:00:00.000Z,2026-10-28T14:30:00.000Z,user-brandon,false,heart,
pg-clinical-journal-5,database,db-nursing,Clinical Journal Week 5,2026-10-10T18:00:00.000Z,2026-10-12T19:00:00.000Z,user-brandon,false,book,
pg-training-log-jun,database,db-fitness,Summer Training Log - June,2026-06-01T07:00:00.000Z,2026-06-30T21:00:00.000Z,user-brandon,false,activity,
pg-reading-list,database,db-personal,Reading List - Fall 2026,2026-09-01T09:00:00.000Z,2026-09-15T10:00:00.000Z,user-brandon,false,book-open,
pg-clinical-journal-6,database,db-nursing,Clinical Journal Week 6,2026-10-17T16:00:00.000Z,2026-10-19T18:30:00.000Z,user-brandon,false,book,
pg-norwegian-notes,database,db-personal,Norwegian Travel Notes,2026-08-10T10:00:00.000Z,2026-08-20T15:00:00.000Z,user-brandon,false,globe,
pg-nclex-respiratory,database,db-nursing,NCLEX Pharm Review - Respiratory Drugs,2026-09-15T11:00:00.000Z,2026-10-05T16:00:00.000Z,user-brandon,false,wind,
pg-clinical-journal-7,database,db-nursing,Clinical Journal Week 7,2026-10-24T18:00:00.000Z,2026-10-26T20:00:00.000Z,user-brandon,false,book,
pg-race-gear,database,db-fitness,Race Gear Checklist,2026-10-15T10:00:00.000Z,2026-10-20T12:00:00.000Z,user-brandon,false,check-square,
pg-study-schedule,database,db-nursing,Study Schedule - Exam Week,2026-11-10T09:00:00.000Z,2026-11-15T09:00:00.000Z,user-brandon,false,calendar,
pg-clinical-journal-8,database,db-nursing,Clinical Journal Week 8,2026-10-31T16:00:00.000Z,2026-11-02T18:00:00.000Z,user-brandon,false,book,
pg-meal-prep,database,db-personal,Meal Prep Ideas - Fall,2026-09-01T08:00:00.000Z,2026-09-05T10:00:00.000Z,user-brandon,false,coffee,
